value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/m/0vpj4_b&date=today+12-m&geo=US,/m/0vpj4_b,Cryptocurrency,Topic
8,8,True,/trends/explore?q=/m/05p0rrx&date=today+12-m&geo=US,/m/05p0rrx,Bitcoin,Currency
5,5,True,/trends/explore?q=/m/01ld0&date=today+12-m&geo=US,/m/01ld0,Cryptography,Field of study
4,4,True,/trends/explore?q=/m/0242l&date=today+12-m&geo=US,/m/0242l,Coin,Topic
4,4,True,/trends/explore?q=/m/02_vjy&date=today+12-m&geo=US,/m/02_vjy,Wallet,Topic
4,4,True,/trends/explore?q=/m/053rd&date=today+12-m&geo=US,/m/053rd,Mining,Topic
3,3,True,/trends/explore?q=/m/0965sb&date=today+12-m&geo=US,/m/0965sb,Cryptocurrency exchange,Topic
3,3,True,/trends/explore?q=/m/0wr3qjq&date=today+12-m&geo=US,/m/0wr3qjq,Coinbase,Topic
3,3,True,/trends/explore?q=/m/09y4pm&date=today+12-m&geo=US,/m/09y4pm,Market,Topic
2,2,True,/trends/explore?q=/m/0cncxk&date=today+12-m&geo=US,/m/0cncxk,Trader,Finance
2,2,True,/trends/explore?q=/m/078rys&date=today+12-m&geo=US,/m/078rys,Ripple,Payment protocol
2,2,True,/trends/explore?q=/m/07br0&date=today+12-m&geo=US,/m/07br0,Trade,Topic
2,2,True,/trends/explore?q=/m/0g_fl&date=today+12-m&geo=US,/m/0g_fl,Investment,Topic
2,2,True,/trends/explore?q=/m/011q8ct1&date=today+12-m&geo=US,/m/011q8ct1,Robinhood,Company
2,2,True,/trends/explore?q=/m/0108bn2x&date=today+12-m&geo=US,/m/0108bn2x,Ethereum,Topic
2,2,True,/trends/explore?q=/g/11f1059m3c&date=today+12-m&geo=US,/g/11f1059m3c,Crypto wallet,Topic
2,2,True,/trends/explore?q=/m/01q7l&date=today+12-m&geo=US,/m/01q7l,Currency,Topic
2,2,True,/trends/explore?q=/m/04q8cv5&date=today+12-m&geo=US,/m/04q8cv5,Exchange,Organized market
1,1,True,/trends/explore?q=/m/01449&date=today+12-m&geo=US,/m/01449,Arbitrage,Topic
1,1,True,/trends/explore?q=/g/11hcz1r4wl&date=today+12-m&geo=US,/g/11hcz1r4wl,Binance,Cryptocurrency exchange company
1,1,True,/trends/explore?q=/m/0g1vs&date=today+12-m&geo=US,/m/0g1vs,Market capitalization,Topic
1,1,True,/trends/explore?q=/m/03fk6m&date=today+12-m&geo=US,/m/03fk6m,Fee,Topic
1,1,True,/trends/explore?q=/m/01h9n8&date=today+12-m&geo=US,/m/01h9n8,Day trading,Topic
1,1,True,/trends/explore?q=/m/05wjw&date=today+12-m&geo=US,/m/05wjw,Pi,Topic
1,1,True,/trends/explore?q=/m/05fy_7&date=today+12-m&geo=US,/m/05fy_7,Index,Economics
