value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/m/04115t2&date=today+12-m&geo=US,/m/04115t2,Job,Topic
19,19,True,/trends/explore?q=/m/083br0&date=today+12-m&geo=US,/m/083br0,Job hunting,Topic
17,17,True,/trends/explore?q=/m/0k8z&date=today+12-m&geo=US,/m/0k8z,Apple,Technology company
16,16,True,/trends/explore?q=/m/05p0rrx&date=today+12-m&geo=US,/m/05p0rrx,Bitcoin,Currency
16,16,True,/trends/explore?q=/m/01dnzs&date=today+12-m&geo=US,/m/01dnzs,Loan,Topic
16,16,True,/trends/explore?q=/m/0h6dlrc&date=today+12-m&geo=US,/m/0h6dlrc,BMW,Automobile make
16,16,True,/trends/explore?q=/m/052mx&date=today+12-m&geo=US,/m/052mx,Mercedes-Benz,Luxury vehicles company
16,16,True,/trends/explore?q=/g/11hcz1r4wl&date=today+12-m&geo=US,/g/11hcz1r4wl,Binance,Cryptocurrency exchange company
16,16,True,/trends/explore?q=/m/04st9hr&date=today+12-m&geo=US,/m/04st9hr,Apple,Topic
16,16,True,/trends/explore?q=/m/017yh&date=today+12-m&geo=US,/m/017yh,Bayerische Motoren Werke AG,Luxury vehicles company
16,16,True,/trends/explore?q=/m/0h5wpdf&date=today+12-m&geo=US,/m/0h5wpdf,Mercedes-Benz,Automobile make
12,12,True,/trends/explore?q=/m/01tqrk&date=today+12-m&geo=US,/m/01tqrk,Employment,Topic
10,10,True,/trends/explore?q=/m/0r4_kmc&date=today+12-m&geo=US,/m/0r4_kmc,PlayStation 4,Video game console
9,9,True,/trends/explore?q=/m/02vlb56&date=today+12-m&geo=US,/m/02vlb56,Job description,Topic
6,6,True,/trends/explore?q=/m/01spxd&date=today+12-m&geo=US,/m/01spxd,Sony Mobile,Telecommunications company
6,6,True,/trends/explore?q=/m/06q07&date=today+12-m&geo=US,/m/06q07,Sony Corporation,Multinational conglomerate company
3,3,True,/trends/explore?q=/m/051yfd3&date=today+12-m&geo=US,/m/051yfd3,Application for employment,Topic
3,3,True,/trends/explore?q=/g/11f555cn8l&date=today+12-m&geo=US,/g/11f555cn8l,TikTok,Topic
3,3,True,/trends/explore?q=/m/02w88k&date=today+12-m&geo=US,/m/02w88k,Salary,Topic
3,3,True,/trends/explore?q=/m/04_tv&date=today+12-m&geo=US,/m/04_tv,Management,Topic
3,3,True,/trends/explore?q=/m/01jdpf&date=today+12-m&geo=US,/m/01jdpf,Interview,Topic
2,2,True,/trends/explore?q=/m/03ml62y&date=today+12-m&geo=US,/m/03ml62y,Career,Topic
2,2,True,/trends/explore?q=/m/03nw7w&date=today+12-m&geo=US,/m/03nw7w,Recruitment,Topic
2,2,True,/trends/explore?q=/m/05y7_j&date=today+12-m&geo=US,/m/05y7_j,Job interview,Topic
2,2,True,/trends/explore?q=/m/06kz9r&date=today+12-m&geo=US,/m/06kz9r,Ocean State Job Lot,Retail company
