value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/m/02k260&date=today+12-m&geo=US,/m/02k260,Opioid,Medication
14,14,True,/trends/explore?q=/m/03b917&date=today+12-m&geo=US,/m/03b917,Opioid use disorder,Disorder
10,10,True,/trends/explore?q=/m/0l08&date=today+12-m&geo=US,/m/0l08,Addiction,Topic
8,8,True,/trends/explore?q=/m/02kjb_&date=today+12-m&geo=US,/m/02kjb_,Drug,Topic
7,7,True,/trends/explore?q=/m/03c1dkx&date=today+12-m&geo=US,/m/03c1dkx,Therapy,Topic
5,5,True,/trends/explore?q=/m/0hn9s&date=today+12-m&geo=US,/m/0hn9s,Epidemic,Topic
5,5,True,/trends/explore?q=/g/11cnndkm5r&date=today+12-m&geo=US,/g/11cnndkm5r,Opiate withdrawal,Disease or medical condition
4,4,True,/trends/explore?q=/m/018l35&date=today+12-m&geo=US,/m/018l35,Pharmaceutical drug,Topic
4,4,True,/trends/explore?q=/m/026750&date=today+12-m&geo=US,/m/026750,Drug withdrawal,Topic
4,4,True,/trends/explore?q=/m/062t2&date=today+12-m&geo=US,/m/062t2,Pain,Medical condition
4,4,True,/trends/explore?q=/m/053v10z&date=today+12-m&geo=US,/m/053v10z,Opioid overdose,Syndrome
4,4,True,/trends/explore?q=/m/01s92x&date=today+12-m&geo=US,/m/01s92x,Medical prescription,Topic
4,4,True,/trends/explore?q=/m/027x3&date=today+12-m&geo=US,/m/027x3,Disease,Topic
3,3,True,/trends/explore?q=/m/01tf_6&date=today+12-m&geo=US,/m/01tf_6,Drug overdose,Topic
3,3,True,/trends/explore?q=/m/03n5b&date=today+12-m&geo=US,/m/03n5b,Heroin,Drug
2,2,True,/trends/explore?q=/m/0swpq&date=today+12-m&geo=US,/m/0swpq,Lawsuit,Topic
2,2,True,/trends/explore?q=/m/05q1y&date=today+12-m&geo=US,/m/05q1y,Oxycodone,Medication
2,2,True,/trends/explore?q=/m/01l6z8&date=today+12-m&geo=US,/m/01l6z8,Tramadol,Medication
2,2,True,/trends/explore?q=/m/03brks&date=today+12-m&geo=US,/m/03brks,Buprenorphine,Topic
2,2,True,/trends/explore?q=/m/028hfb&date=today+12-m&geo=US,/m/028hfb,Patient,Topic
2,2,True,/trends/explore?q=/m/0y09&date=today+12-m&geo=US,/m/0y09,Analgesic,Drug
2,2,True,/trends/explore?q=/m/02pphw&date=today+12-m&geo=US,/m/02pphw,Settlement,Topic
2,2,True,/trends/explore?q=/m/011_yk&date=today+12-m&geo=US,/m/011_yk,Naloxone,Medication
2,2,True,/trends/explore?q=/m/05pgn&date=today+12-m&geo=US,/m/05pgn,Opiate,Drug class
2,2,True,/trends/explore?q=/m/02r11t&date=today+12-m&geo=US,/m/02r11t,Receptor,Topic
