anxiety and depression,isPartial,date
70,False,2019-05-26
78,False,2019-06-02
72,False,2019-06-09
75,False,2019-06-16
81,False,2019-06-23
67,False,2019-06-30
72,False,2019-07-07
76,False,2019-07-14
84,False,2019-07-21
92,False,2019-07-28
77,False,2019-08-04
80,False,2019-08-11
74,False,2019-08-18
81,False,2019-08-25
75,False,2019-09-01
86,False,2019-09-08
81,False,2019-09-15
88,False,2019-09-22
85,False,2019-09-29
92,False,2019-10-06
87,False,2019-10-13
94,False,2019-10-20
89,False,2019-10-27
84,False,2019-11-03
79,False,2019-11-10
89,False,2019-11-17
75,False,2019-11-24
96,False,2019-12-01
79,False,2019-12-08
73,False,2019-12-15
62,False,2019-12-22
71,False,2019-12-29
78,False,2020-01-05
87,False,2020-01-12
82,False,2020-01-19
95,False,2020-01-26
100,False,2020-02-02
85,False,2020-02-09
93,False,2020-02-16
80,False,2020-02-23
91,False,2020-03-01
73,False,2020-03-08
52,False,2020-03-15
61,False,2020-03-22
63,False,2020-03-29
60,False,2020-04-05
74,False,2020-04-12
71,False,2020-04-19
76,False,2020-04-26
75,False,2020-05-03
78,False,2020-05-10
72,True,2020-05-17
