anxiety depression,isPartial,date
87,False,2019-08-11
78,False,2019-08-18
81,False,2019-08-25
81,False,2019-09-01
85,False,2019-09-08
81,False,2019-09-15
89,False,2019-09-22
90,False,2019-09-29
95,False,2019-10-06
99,False,2019-10-13
96,False,2019-10-20
86,False,2019-10-27
96,False,2019-11-03
89,False,2019-11-10
100,False,2019-11-17
79,False,2019-11-24
94,False,2019-12-01
94,False,2019-12-08
79,False,2019-12-15
62,False,2019-12-22
77,False,2019-12-29
90,False,2020-01-05
89,False,2020-01-12
88,False,2020-01-19
99,False,2020-01-26
98,False,2020-02-02
92,False,2020-02-09
97,False,2020-02-16
91,False,2020-02-23
87,False,2020-03-01
74,False,2020-03-08
53,False,2020-03-15
63,False,2020-03-22
67,False,2020-03-29
70,False,2020-04-05
74,False,2020-04-12
80,False,2020-04-19
83,False,2020-04-26
83,False,2020-05-03
83,False,2020-05-10
74,False,2020-05-17
76,False,2020-05-24
66,False,2020-05-31
78,False,2020-06-07
80,False,2020-06-14
85,False,2020-06-21
76,False,2020-06-28
80,False,2020-07-05
84,False,2020-07-12
78,False,2020-07-19
81,False,2020-07-26
77,True,2020-08-02
