anxiety treatment,isPartial,date
75,False,2019-05-26
68,False,2019-06-02
80,False,2019-06-09
69,False,2019-06-16
71,False,2019-06-23
63,False,2019-06-30
67,False,2019-07-07
65,False,2019-07-14
76,False,2019-07-21
62,False,2019-07-28
67,False,2019-08-04
72,False,2019-08-11
71,False,2019-08-18
74,False,2019-08-25
72,False,2019-09-01
85,False,2019-09-08
72,False,2019-09-15
92,False,2019-09-22
83,False,2019-09-29
100,False,2019-10-06
86,False,2019-10-13
88,False,2019-10-20
84,False,2019-10-27
81,False,2019-11-03
83,False,2019-11-10
97,False,2019-11-17
63,False,2019-11-24
100,False,2019-12-01
76,False,2019-12-08
76,False,2019-12-15
67,False,2019-12-22
74,False,2019-12-29
75,False,2020-01-05
73,False,2020-01-12
83,False,2020-01-19
96,False,2020-01-26
78,False,2020-02-02
93,False,2020-02-09
97,False,2020-02-16
89,False,2020-02-23
83,False,2020-03-01
76,False,2020-03-08
55,False,2020-03-15
65,False,2020-03-22
71,False,2020-03-29
81,False,2020-04-05
72,False,2020-04-12
87,False,2020-04-19
87,False,2020-04-26
86,False,2020-05-03
71,False,2020-05-10
84,True,2020-05-17
