cbd for anxiety,isPartial,date
100,False,2019-08-11
87,False,2019-08-18
86,False,2019-08-25
76,False,2019-09-01
87,False,2019-09-08
77,False,2019-09-15
67,False,2019-09-22
67,False,2019-09-29
64,False,2019-10-06
69,False,2019-10-13
71,False,2019-10-20
66,False,2019-10-27
73,False,2019-11-03
49,False,2019-11-10
53,False,2019-11-17
61,False,2019-11-24
59,False,2019-12-01
51,False,2019-12-08
54,False,2019-12-15
51,False,2019-12-22
69,False,2019-12-29
66,False,2020-01-05
62,False,2020-01-12
62,False,2020-01-19
65,False,2020-01-26
62,False,2020-02-02
63,False,2020-02-09
74,False,2020-02-16
74,False,2020-02-23
66,False,2020-03-01
52,False,2020-03-08
40,False,2020-03-15
37,False,2020-03-22
50,False,2020-03-29
55,False,2020-04-05
49,False,2020-04-12
59,False,2020-04-19
61,False,2020-04-26
59,False,2020-05-03
64,False,2020-05-10
60,False,2020-05-17
55,False,2020-05-24
49,False,2020-05-31
56,False,2020-06-07
70,False,2020-06-14
84,False,2020-06-21
82,False,2020-06-28
79,False,2020-07-05
59,False,2020-07-12
66,False,2020-07-19
63,False,2020-07-26
58,True,2020-08-02
