depression and anxiety,isPartial,date
74,False,2019-08-11
73,False,2019-08-18
73,False,2019-08-25
70,False,2019-09-01
78,False,2019-09-08
78,False,2019-09-15
76,False,2019-09-22
82,False,2019-09-29
84,False,2019-10-06
95,False,2019-10-13
88,False,2019-10-20
87,False,2019-10-27
93,False,2019-11-03
79,False,2019-11-10
93,False,2019-11-17
72,False,2019-11-24
97,False,2019-12-01
83,False,2019-12-08
71,False,2019-12-15
61,False,2019-12-22
67,False,2019-12-29
90,False,2020-01-05
88,False,2020-01-12
80,False,2020-01-19
100,False,2020-01-26
91,False,2020-02-02
86,False,2020-02-09
85,False,2020-02-16
79,False,2020-02-23
88,False,2020-03-01
67,False,2020-03-08
46,False,2020-03-15
51,False,2020-03-22
62,False,2020-03-29
63,False,2020-04-05
70,False,2020-04-12
76,False,2020-04-19
75,False,2020-04-26
72,False,2020-05-03
79,False,2020-05-10
66,False,2020-05-17
72,False,2020-05-24
64,False,2020-05-31
75,False,2020-06-07
82,False,2020-06-14
81,False,2020-06-21
73,False,2020-06-28
77,False,2020-07-05
81,False,2020-07-12
68,False,2020-07-19
76,False,2020-07-26
69,True,2020-08-02
