dizziness,isPartial,date
88,False,2019-08-11
87,False,2019-08-18
83,False,2019-08-25
79,False,2019-09-01
84,False,2019-09-08
78,False,2019-09-15
81,False,2019-09-22
87,False,2019-09-29
82,False,2019-10-06
76,False,2019-10-13
77,False,2019-10-20
75,False,2019-10-27
83,False,2019-11-03
78,False,2019-11-10
83,False,2019-11-17
76,False,2019-11-24
79,False,2019-12-01
84,False,2019-12-08
79,False,2019-12-15
79,False,2019-12-22
89,False,2019-12-29
85,False,2020-01-05
83,False,2020-01-12
83,False,2020-01-19
83,False,2020-01-26
82,False,2020-02-02
87,False,2020-02-09
88,False,2020-02-16
86,False,2020-02-23
81,False,2020-03-01
81,False,2020-03-08
80,False,2020-03-15
91,False,2020-03-22
89,False,2020-03-29
84,False,2020-04-05
79,False,2020-04-12
84,False,2020-04-19
82,False,2020-04-26
75,False,2020-05-03
78,False,2020-05-10
84,False,2020-05-17
83,False,2020-05-24
82,False,2020-05-31
85,False,2020-06-07
87,False,2020-06-14
93,False,2020-06-21
96,False,2020-06-28
98,False,2020-07-05
100,False,2020-07-12
100,False,2020-07-19
94,False,2020-07-26
86,True,2020-08-02
