dread,isPartial,date
85,False,2019-08-11
84,False,2019-08-18
94,False,2019-08-25
87,False,2019-09-01
93,False,2019-09-08
85,False,2019-09-15
87,False,2019-09-22
95,False,2019-09-29
92,False,2019-10-06
88,False,2019-10-13
96,False,2019-10-20
91,False,2019-10-27
86,False,2019-11-03
83,False,2019-11-10
84,False,2019-11-17
83,False,2019-11-24
76,False,2019-12-01
88,False,2019-12-08
89,False,2019-12-15
82,False,2019-12-22
93,False,2019-12-29
84,False,2020-01-05
87,False,2020-01-12
89,False,2020-01-19
88,False,2020-01-26
89,False,2020-02-02
92,False,2020-02-09
93,False,2020-02-16
90,False,2020-02-23
86,False,2020-03-01
83,False,2020-03-08
72,False,2020-03-15
80,False,2020-03-22
80,False,2020-03-29
82,False,2020-04-05
87,False,2020-04-12
96,False,2020-04-19
96,False,2020-04-26
96,False,2020-05-03
95,False,2020-05-10
93,False,2020-05-17
91,False,2020-05-24
89,False,2020-05-31
98,False,2020-06-07
98,False,2020-06-14
91,False,2020-06-21
86,False,2020-06-28
100,False,2020-07-05
88,False,2020-07-12
94,False,2020-07-19
90,False,2020-07-26
90,True,2020-08-02
