health anxiety,isPartial,date
62,False,2019-08-11
62,False,2019-08-18
54,False,2019-08-25
65,False,2019-09-01
86,False,2019-09-08
78,False,2019-09-15
91,False,2019-09-22
70,False,2019-09-29
77,False,2019-10-06
80,False,2019-10-13
68,False,2019-10-20
80,False,2019-10-27
66,False,2019-11-03
71,False,2019-11-10
94,False,2019-11-17
53,False,2019-11-24
81,False,2019-12-01
72,False,2019-12-08
65,False,2019-12-15
48,False,2019-12-22
50,False,2019-12-29
75,False,2020-01-05
68,False,2020-01-12
66,False,2020-01-19
78,False,2020-01-26
90,False,2020-02-02
97,False,2020-02-09
100,False,2020-02-16
83,False,2020-02-23
86,False,2020-03-01
80,False,2020-03-08
73,False,2020-03-15
74,False,2020-03-22
64,False,2020-03-29
75,False,2020-04-05
76,False,2020-04-12
79,False,2020-04-19
85,False,2020-04-26
82,False,2020-05-03
72,False,2020-05-10
75,False,2020-05-17
64,False,2020-05-24
66,False,2020-05-31
72,False,2020-06-07
71,False,2020-06-14
71,False,2020-06-21
60,False,2020-06-28
77,False,2020-07-05
78,False,2020-07-12
85,False,2020-07-19
67,False,2020-07-26
66,True,2020-08-02
