muscle tension,isPartial,date
59,False,2019-08-11
70,False,2019-08-18
68,False,2019-08-25
46,False,2019-09-01
81,False,2019-09-08
79,False,2019-09-15
73,False,2019-09-22
73,False,2019-09-29
92,False,2019-10-06
88,False,2019-10-13
98,False,2019-10-20
98,False,2019-10-27
86,False,2019-11-03
81,False,2019-11-10
82,False,2019-11-17
67,False,2019-11-24
73,False,2019-12-01
68,False,2019-12-08
65,False,2019-12-15
46,False,2019-12-22
52,False,2019-12-29
64,False,2020-01-05
66,False,2020-01-12
53,False,2020-01-19
65,False,2020-01-26
68,False,2020-02-02
70,False,2020-02-09
83,False,2020-02-16
76,False,2020-02-23
87,False,2020-03-01
67,False,2020-03-08
67,False,2020-03-15
70,False,2020-03-22
89,False,2020-03-29
86,False,2020-04-05
80,False,2020-04-12
100,False,2020-04-19
89,False,2020-04-26
82,False,2020-05-03
75,False,2020-05-10
61,False,2020-05-17
66,False,2020-05-24
60,False,2020-05-31
76,False,2020-06-07
72,False,2020-06-14
83,False,2020-06-21
58,False,2020-06-28
73,False,2020-07-05
76,False,2020-07-12
75,False,2020-07-19
74,False,2020-07-26
57,True,2020-08-02
