overwhelming,isPartial,date
69,False,2019-08-11
64,False,2019-08-18
77,False,2019-08-25
51,False,2019-09-01
83,False,2019-09-08
93,False,2019-09-15
82,False,2019-09-22
90,False,2019-09-29
90,False,2019-10-06
69,False,2019-10-13
50,False,2019-10-20
71,False,2019-10-27
84,False,2019-11-03
92,False,2019-11-10
81,False,2019-11-17
70,False,2019-11-24
84,False,2019-12-01
69,False,2019-12-08
76,False,2019-12-15
45,False,2019-12-22
59,False,2019-12-29
73,False,2020-01-05
56,False,2020-01-12
71,False,2020-01-19
81,False,2020-01-26
77,False,2020-02-02
83,False,2020-02-09
83,False,2020-02-16
81,False,2020-02-23
82,False,2020-03-01
84,False,2020-03-08
76,False,2020-03-15
73,False,2020-03-22
84,False,2020-03-29
77,False,2020-04-05
93,False,2020-04-12
100,False,2020-04-19
96,False,2020-04-26
96,False,2020-05-03
83,False,2020-05-10
77,False,2020-05-17
71,False,2020-05-24
96,False,2020-05-31
70,False,2020-06-07
69,False,2020-06-14
64,False,2020-06-21
61,False,2020-06-28
77,False,2020-07-05
66,False,2020-07-12
83,False,2020-07-19
72,False,2020-07-26
75,True,2020-08-02
