stomach pain,isPartial,date
93,False,2019-08-11
86,False,2019-08-18
82,False,2019-08-25
82,False,2019-09-01
83,False,2019-09-08
86,False,2019-09-15
85,False,2019-09-22
84,False,2019-09-29
82,False,2019-10-06
84,False,2019-10-13
86,False,2019-10-20
79,False,2019-10-27
85,False,2019-11-03
83,False,2019-11-10
89,False,2019-11-17
89,False,2019-11-24
85,False,2019-12-01
85,False,2019-12-08
85,False,2019-12-15
96,False,2019-12-22
100,False,2019-12-29
97,False,2020-01-05
91,False,2020-01-12
92,False,2020-01-19
90,False,2020-01-26
86,False,2020-02-02
88,False,2020-02-09
92,False,2020-02-16
90,False,2020-02-23
87,False,2020-03-01
85,False,2020-03-08
80,False,2020-03-15
86,False,2020-03-22
87,False,2020-03-29
87,False,2020-04-05
84,False,2020-04-12
87,False,2020-04-19
84,False,2020-04-26
84,False,2020-05-03
83,False,2020-05-10
86,False,2020-05-17
87,False,2020-05-24
79,False,2020-05-31
86,False,2020-06-07
87,False,2020-06-14
86,False,2020-06-21
91,False,2020-06-28
93,False,2020-07-05
92,False,2020-07-12
94,False,2020-07-19
93,False,2020-07-26
97,True,2020-08-02
