sweaty,isPartial,date
40,False,2019-08-11
39,False,2019-08-18
36,False,2019-08-25
41,False,2019-09-01
40,False,2019-09-08
37,False,2019-09-15
38,False,2019-09-22
39,False,2019-09-29
38,False,2019-10-06
35,False,2019-10-13
37,False,2019-10-20
36,False,2019-10-27
39,False,2019-11-03
39,False,2019-11-10
37,False,2019-11-17
39,False,2019-11-24
42,False,2019-12-01
37,False,2019-12-08
38,False,2019-12-15
44,False,2019-12-22
45,False,2019-12-29
40,False,2020-01-05
39,False,2020-01-12
39,False,2020-01-19
41,False,2020-01-26
38,False,2020-02-02
37,False,2020-02-09
39,False,2020-02-16
43,False,2020-02-23
39,False,2020-03-01
35,False,2020-03-08
35,False,2020-03-15
41,False,2020-03-22
42,False,2020-03-29
46,False,2020-04-05
43,False,2020-04-12
67,False,2020-04-19
52,False,2020-04-26
51,False,2020-05-03
50,False,2020-05-10
50,False,2020-05-17
51,False,2020-05-24
46,False,2020-05-31
50,False,2020-06-07
58,False,2020-06-14
60,False,2020-06-21
61,False,2020-06-28
100,False,2020-07-05
79,False,2020-07-12
65,False,2020-07-19
58,False,2020-07-26
55,True,2020-08-02
