what is anxiety,isPartial,date
75,False,2019-08-11
62,False,2019-08-18
77,False,2019-08-25
74,False,2019-09-01
79,False,2019-09-08
72,False,2019-09-15
87,False,2019-09-22
82,False,2019-09-29
83,False,2019-10-06
86,False,2019-10-13
92,False,2019-10-20
79,False,2019-10-27
87,False,2019-11-03
91,False,2019-11-10
90,False,2019-11-17
73,False,2019-11-24
90,False,2019-12-01
86,False,2019-12-08
76,False,2019-12-15
56,False,2019-12-22
66,False,2019-12-29
81,False,2020-01-05
88,False,2020-01-12
83,False,2020-01-19
83,False,2020-01-26
93,False,2020-02-02
89,False,2020-02-09
100,False,2020-02-16
89,False,2020-02-23
96,False,2020-03-01
81,False,2020-03-08
78,False,2020-03-15
88,False,2020-03-22
86,False,2020-03-29
88,False,2020-04-05
86,False,2020-04-12
97,False,2020-04-19
99,False,2020-04-26
97,False,2020-05-03
98,False,2020-05-10
90,False,2020-05-17
81,False,2020-05-24
74,False,2020-05-31
84,False,2020-06-07
86,False,2020-06-14
84,False,2020-06-21
84,False,2020-06-28
85,False,2020-07-05
91,False,2020-07-12
87,False,2020-07-19
87,False,2020-07-26
78,True,2020-08-02
