buy crypto,isPartial,date
19,False,2019-08-11
25,False,2019-08-18
12,False,2019-08-25
16,False,2019-09-01
15,False,2019-09-08
25,False,2019-09-15
25,False,2019-09-22
15,False,2019-09-29
17,False,2019-10-06
18,False,2019-10-13
15,False,2019-10-20
19,False,2019-10-27
25,False,2019-11-03
16,False,2019-11-10
13,False,2019-11-17
18,False,2019-11-24
13,False,2019-12-01
14,False,2019-12-08
20,False,2019-12-15
12,False,2019-12-22
28,False,2019-12-29
23,False,2020-01-05
23,False,2020-01-12
21,False,2020-01-19
20,False,2020-01-26
25,False,2020-02-02
44,False,2020-02-09
19,False,2020-02-16
22,False,2020-02-23
31,False,2020-03-01
39,False,2020-03-08
41,False,2020-03-15
26,False,2020-03-22
37,False,2020-03-29
39,False,2020-04-05
36,False,2020-04-12
34,False,2020-04-19
73,False,2020-04-26
80,False,2020-05-03
60,False,2020-05-10
48,False,2020-05-17
45,False,2020-05-24
47,False,2020-05-31
38,False,2020-06-07
43,False,2020-06-14
49,False,2020-06-21
38,False,2020-06-28
73,False,2020-07-05
49,False,2020-07-12
47,False,2020-07-19
75,False,2020-07-26
100,True,2020-08-02
