coin,isPartial,date
85,False,2019-05-26
79,False,2019-06-02
81,False,2019-06-09
93,False,2019-06-16
91,False,2019-06-23
83,False,2019-06-30
81,False,2019-07-07
80,False,2019-07-14
79,False,2019-07-21
77,False,2019-07-28
76,False,2019-08-04
77,False,2019-08-11
81,False,2019-08-18
73,False,2019-08-25
73,False,2019-09-01
72,False,2019-09-08
76,False,2019-09-15
77,False,2019-09-22
80,False,2019-09-29
77,False,2019-10-06
77,False,2019-10-13
79,False,2019-10-20
78,False,2019-10-27
76,False,2019-11-03
80,False,2019-11-10
82,False,2019-11-17
79,False,2019-11-24
78,False,2019-12-01
80,False,2019-12-08
88,False,2019-12-15
95,False,2019-12-22
98,False,2019-12-29
94,False,2020-01-05
91,False,2020-01-12
91,False,2020-01-19
89,False,2020-01-26
100,False,2020-02-02
93,False,2020-02-09
92,False,2020-02-16
92,False,2020-02-23
86,False,2020-03-01
84,False,2020-03-08
79,False,2020-03-15
77,False,2020-03-22
76,False,2020-03-29
81,False,2020-04-05
79,False,2020-04-12
79,False,2020-04-19
80,False,2020-04-26
81,False,2020-05-03
83,False,2020-05-10
82,True,2020-05-17
