crypto 2020,isPartial,date
8,False,2019-08-11
8,False,2019-08-18
5,False,2019-08-25
5,False,2019-09-01
8,False,2019-09-08
5,False,2019-09-15
5,False,2019-09-22
13,False,2019-09-29
18,False,2019-10-06
5,False,2019-10-13
10,False,2019-10-20
9,False,2019-10-27
12,False,2019-11-03
13,False,2019-11-10
10,False,2019-11-17
12,False,2019-11-24
15,False,2019-12-01
15,False,2019-12-08
22,False,2019-12-15
33,False,2019-12-22
50,False,2019-12-29
63,False,2020-01-05
66,False,2020-01-12
63,False,2020-01-19
54,False,2020-01-26
64,False,2020-02-02
91,False,2020-02-09
51,False,2020-02-16
44,False,2020-02-23
23,False,2020-03-01
51,False,2020-03-08
37,False,2020-03-15
54,False,2020-03-22
43,False,2020-03-29
49,False,2020-04-05
33,False,2020-04-12
50,False,2020-04-19
74,False,2020-04-26
89,False,2020-05-03
100,False,2020-05-10
52,False,2020-05-17
33,False,2020-05-24
48,False,2020-05-31
56,False,2020-06-07
42,False,2020-06-14
41,False,2020-06-21
45,False,2020-06-28
56,False,2020-07-05
58,False,2020-07-12
44,False,2020-07-19
90,False,2020-07-26
93,True,2020-08-02
