crypto apex legends,isPartial,date
0,False,2019-05-26
2,False,2019-06-02
0,False,2019-06-09
12,False,2019-06-16
21,False,2019-06-23
16,False,2019-06-30
7,False,2019-07-07
3,False,2019-07-14
6,False,2019-07-21
6,False,2019-07-28
10,False,2019-08-04
7,False,2019-08-11
7,False,2019-08-18
18,False,2019-08-25
7,False,2019-09-01
9,False,2019-09-08
38,False,2019-09-15
33,False,2019-09-22
100,False,2019-09-29
33,False,2019-10-06
23,False,2019-10-13
17,False,2019-10-20
11,False,2019-10-27
7,False,2019-11-03
8,False,2019-11-10
6,False,2019-11-17
5,False,2019-11-24
8,False,2019-12-01
9,False,2019-12-08
9,False,2019-12-15
6,False,2019-12-22
7,False,2019-12-29
4,False,2020-01-05
9,False,2020-01-12
6,False,2020-01-19
8,False,2020-01-26
15,False,2020-02-02
11,False,2020-02-09
13,False,2020-02-16
14,False,2020-02-23
8,False,2020-03-01
8,False,2020-03-08
12,False,2020-03-15
13,False,2020-03-22
6,False,2020-03-29
4,False,2020-04-05
8,False,2020-04-12
3,False,2020-04-19
6,False,2020-04-26
8,False,2020-05-03
9,False,2020-05-10
10,True,2020-05-17
