crypto bitcoin,isPartial,date
39,False,2019-08-11
32,False,2019-08-18
26,False,2019-08-25
30,False,2019-09-01
20,False,2019-09-08
23,False,2019-09-15
36,False,2019-09-22
28,False,2019-09-29
20,False,2019-10-06
25,False,2019-10-13
31,False,2019-10-20
29,False,2019-10-27
23,False,2019-11-03
21,False,2019-11-10
29,False,2019-11-17
21,False,2019-11-24
22,False,2019-12-01
17,False,2019-12-08
25,False,2019-12-15
23,False,2019-12-22
33,False,2019-12-29
31,False,2020-01-05
27,False,2020-01-12
29,False,2020-01-19
32,False,2020-01-26
38,False,2020-02-02
45,False,2020-02-09
32,False,2020-02-16
37,False,2020-02-23
30,False,2020-03-01
52,False,2020-03-08
37,False,2020-03-15
31,False,2020-03-22
36,False,2020-03-29
30,False,2020-04-05
37,False,2020-04-12
33,False,2020-04-19
49,False,2020-04-26
63,False,2020-05-03
63,False,2020-05-10
41,False,2020-05-17
37,False,2020-05-24
42,False,2020-05-31
34,False,2020-06-07
37,False,2020-06-14
37,False,2020-06-21
27,False,2020-06-28
51,False,2020-07-05
100,False,2020-07-12
37,False,2020-07-19
65,False,2020-07-26
89,True,2020-08-02
