crypto coin,isPartial,date
29,False,2019-08-11
22,False,2019-08-18
30,False,2019-08-25
32,False,2019-09-01
20,False,2019-09-08
37,False,2019-09-15
35,False,2019-09-22
34,False,2019-09-29
25,False,2019-10-06
17,False,2019-10-13
32,False,2019-10-20
36,False,2019-10-27
27,False,2019-11-03
31,False,2019-11-10
30,False,2019-11-17
31,False,2019-11-24
27,False,2019-12-01
18,False,2019-12-08
26,False,2019-12-15
21,False,2019-12-22
30,False,2019-12-29
19,False,2020-01-05
35,False,2020-01-12
36,False,2020-01-19
28,False,2020-01-26
30,False,2020-02-02
46,False,2020-02-09
47,False,2020-02-16
32,False,2020-02-23
35,False,2020-03-01
36,False,2020-03-08
28,False,2020-03-15
39,False,2020-03-22
26,False,2020-03-29
34,False,2020-04-05
31,False,2020-04-12
33,False,2020-04-19
32,False,2020-04-26
52,False,2020-05-03
59,False,2020-05-10
44,False,2020-05-17
46,False,2020-05-24
42,False,2020-05-31
32,False,2020-06-07
37,False,2020-06-14
35,False,2020-06-21
31,False,2020-06-28
57,False,2020-07-05
51,False,2020-07-12
60,False,2020-07-19
63,False,2020-07-26
100,True,2020-08-02
