robinhood,isPartial,date
17,False,2019-08-11
15,False,2019-08-18
14,False,2019-08-25
14,False,2019-09-01
14,False,2019-09-08
14,False,2019-09-15
13,False,2019-09-22
15,False,2019-09-29
17,False,2019-10-06
13,False,2019-10-13
14,False,2019-10-20
16,False,2019-10-27
23,False,2019-11-03
16,False,2019-11-10
16,False,2019-11-17
13,False,2019-11-24
15,False,2019-12-01
16,False,2019-12-08
16,False,2019-12-15
16,False,2019-12-22
22,False,2019-12-29
23,False,2020-01-05
25,False,2020-01-12
23,False,2020-01-19
23,False,2020-01-26
31,False,2020-02-02
32,False,2020-02-09
32,False,2020-02-16
36,False,2020-02-23
100,False,2020-03-01
66,False,2020-03-08
69,False,2020-03-15
68,False,2020-03-22
46,False,2020-03-29
50,False,2020-04-05
53,False,2020-04-12
54,False,2020-04-19
56,False,2020-04-26
47,False,2020-05-03
47,False,2020-05-10
47,False,2020-05-17
43,False,2020-05-24
58,False,2020-05-31
83,False,2020-06-07
81,False,2020-06-14
49,False,2020-06-21
42,False,2020-06-28
53,False,2020-07-05
54,False,2020-07-12
48,False,2020-07-19
48,False,2020-07-26
46,True,2020-08-02
