xrp crypto,isPartial,date
20,False,2019-08-11
8,False,2019-08-18
12,False,2019-08-25
7,False,2019-09-01
19,False,2019-09-08
12,False,2019-09-15
17,False,2019-09-22
19,False,2019-09-29
10,False,2019-10-06
16,False,2019-10-13
14,False,2019-10-20
10,False,2019-10-27
11,False,2019-11-03
11,False,2019-11-10
8,False,2019-11-17
12,False,2019-11-24
6,False,2019-12-01
8,False,2019-12-08
9,False,2019-12-15
14,False,2019-12-22
7,False,2019-12-29
18,False,2020-01-05
25,False,2020-01-12
19,False,2020-01-19
16,False,2020-01-26
25,False,2020-02-02
35,False,2020-02-09
22,False,2020-02-16
16,False,2020-02-23
16,False,2020-03-01
23,False,2020-03-08
18,False,2020-03-15
15,False,2020-03-22
22,False,2020-03-29
20,False,2020-04-05
25,False,2020-04-12
15,False,2020-04-19
32,False,2020-04-26
32,False,2020-05-03
21,False,2020-05-10
24,False,2020-05-17
24,False,2020-05-24
15,False,2020-05-31
17,False,2020-06-07
14,False,2020-06-14
16,False,2020-06-21
23,False,2020-06-28
18,False,2020-07-05
28,False,2020-07-12
24,False,2020-07-19
52,False,2020-07-26
100,True,2020-08-02
