bipolar disorder,isPartial,date
46,False,2019-08-11
48,False,2019-08-18
50,False,2019-08-25
50,False,2019-09-01
51,False,2019-09-08
55,False,2019-09-15
56,False,2019-09-22
61,False,2019-09-29
60,False,2019-10-06
63,False,2019-10-13
68,False,2019-10-20
59,False,2019-10-27
62,False,2019-11-03
63,False,2019-11-10
68,False,2019-11-17
59,False,2019-11-24
62,False,2019-12-01
57,False,2019-12-08
54,False,2019-12-15
39,False,2019-12-22
51,False,2019-12-29
58,False,2020-01-05
60,False,2020-01-12
58,False,2020-01-19
58,False,2020-01-26
60,False,2020-02-02
63,False,2020-02-09
60,False,2020-02-16
64,False,2020-02-23
67,False,2020-03-01
54,False,2020-03-08
38,False,2020-03-15
48,False,2020-03-22
68,False,2020-03-29
63,False,2020-04-05
63,False,2020-04-12
60,False,2020-04-19
61,False,2020-04-26
63,False,2020-05-03
57,False,2020-05-10
54,False,2020-05-17
56,False,2020-05-24
49,False,2020-05-31
56,False,2020-06-07
56,False,2020-06-14
58,False,2020-06-21
52,False,2020-06-28
56,False,2020-07-05
51,False,2020-07-12
100,False,2020-07-19
67,False,2020-07-26
70,True,2020-08-02
