defiant disorder,isPartial,date
77,False,2019-05-26
76,False,2019-06-02
70,False,2019-06-09
69,False,2019-06-16
71,False,2019-06-23
73,False,2019-06-30
77,False,2019-07-07
71,False,2019-07-14
78,False,2019-07-21
70,False,2019-07-28
58,False,2019-08-04
66,False,2019-08-11
82,False,2019-08-18
98,False,2019-08-25
78,False,2019-09-01
91,False,2019-09-08
91,False,2019-09-15
84,False,2019-09-22
95,False,2019-09-29
90,False,2019-10-06
78,False,2019-10-13
91,False,2019-10-20
97,False,2019-10-27
100,False,2019-11-03
96,False,2019-11-10
89,False,2019-11-17
76,False,2019-11-24
82,False,2019-12-01
82,False,2019-12-08
88,False,2019-12-15
57,False,2019-12-22
57,False,2019-12-29
71,False,2020-01-05
86,False,2020-01-12
79,False,2020-01-19
80,False,2020-01-26
79,False,2020-02-02
98,False,2020-02-09
95,False,2020-02-16
94,False,2020-02-23
90,False,2020-03-01
71,False,2020-03-08
49,False,2020-03-15
52,False,2020-03-22
56,False,2020-03-29
55,False,2020-04-05
58,False,2020-04-12
61,False,2020-04-19
76,False,2020-04-26
67,False,2020-05-03
64,False,2020-05-10
68,True,2020-05-17
