depressive disorder,isPartial,date
73,False,2019-08-11
52,False,2019-08-18
66,False,2019-08-25
63,False,2019-09-01
68,False,2019-09-08
80,False,2019-09-15
78,False,2019-09-22
75,False,2019-09-29
83,False,2019-10-06
93,False,2019-10-13
95,False,2019-10-20
88,False,2019-10-27
92,False,2019-11-03
89,False,2019-11-10
97,False,2019-11-17
68,False,2019-11-24
99,False,2019-12-01
98,False,2019-12-08
80,False,2019-12-15
52,False,2019-12-22
66,False,2019-12-29
64,False,2020-01-05
81,False,2020-01-12
80,False,2020-01-19
90,False,2020-01-26
84,False,2020-02-02
89,False,2020-02-09
91,False,2020-02-16
100,False,2020-02-23
90,False,2020-03-01
84,False,2020-03-08
68,False,2020-03-15
62,False,2020-03-22
71,False,2020-03-29
82,False,2020-04-05
75,False,2020-04-12
88,False,2020-04-19
85,False,2020-04-26
90,False,2020-05-03
72,False,2020-05-10
70,False,2020-05-17
61,False,2020-05-24
60,False,2020-05-31
70,False,2020-06-07
80,False,2020-06-14
70,False,2020-06-21
65,False,2020-06-28
71,False,2020-07-05
77,False,2020-07-12
76,False,2020-07-19
78,False,2020-07-26
83,True,2020-08-02
