disorder,isPartial,date
72,False,2019-08-11
73,False,2019-08-18
74,False,2019-08-25
74,False,2019-09-01
82,False,2019-09-08
84,False,2019-09-15
87,False,2019-09-22
87,False,2019-09-29
90,False,2019-10-06
91,False,2019-10-13
95,False,2019-10-20
92,False,2019-10-27
94,False,2019-11-03
91,False,2019-11-10
100,False,2019-11-17
79,False,2019-11-24
97,False,2019-12-01
93,False,2019-12-08
78,False,2019-12-15
63,False,2019-12-22
69,False,2019-12-29
80,False,2020-01-05
88,False,2020-01-12
89,False,2020-01-19
88,False,2020-01-26
89,False,2020-02-02
93,False,2020-02-09
97,False,2020-02-16
100,False,2020-02-23
96,False,2020-03-01
85,False,2020-03-08
66,False,2020-03-15
72,False,2020-03-22
76,False,2020-03-29
80,False,2020-04-05
83,False,2020-04-12
86,False,2020-04-19
88,False,2020-04-26
86,False,2020-05-03
81,False,2020-05-10
82,False,2020-05-17
75,False,2020-05-24
70,False,2020-05-31
79,False,2020-06-07
79,False,2020-06-14
79,False,2020-06-21
88,False,2020-06-28
79,False,2020-07-05
78,False,2020-07-12
91,False,2020-07-19
81,False,2020-07-26
78,True,2020-08-02
