dissociative disorder,isPartial,date
48,False,2019-08-11
53,False,2019-08-18
48,False,2019-08-25
52,False,2019-09-01
48,False,2019-09-08
54,False,2019-09-15
61,False,2019-09-22
60,False,2019-09-29
69,False,2019-10-06
68,False,2019-10-13
68,False,2019-10-20
74,False,2019-10-27
67,False,2019-11-03
72,False,2019-11-10
91,False,2019-11-17
67,False,2019-11-24
100,False,2019-12-01
85,False,2019-12-08
62,False,2019-12-15
54,False,2019-12-22
45,False,2019-12-29
55,False,2020-01-05
56,False,2020-01-12
61,False,2020-01-19
55,False,2020-01-26
63,False,2020-02-02
70,False,2020-02-09
66,False,2020-02-16
74,False,2020-02-23
85,False,2020-03-01
91,False,2020-03-08
78,False,2020-03-15
77,False,2020-03-22
72,False,2020-03-29
71,False,2020-04-05
69,False,2020-04-12
87,False,2020-04-19
76,False,2020-04-26
84,False,2020-05-03
69,False,2020-05-10
53,False,2020-05-17
58,False,2020-05-24
56,False,2020-05-31
58,False,2020-06-07
61,False,2020-06-14
66,False,2020-06-21
63,False,2020-06-28
65,False,2020-07-05
65,False,2020-07-12
67,False,2020-07-19
60,False,2020-07-26
68,True,2020-08-02
