mood disorder,isPartial,date
56,False,2019-08-11
61,False,2019-08-18
59,False,2019-08-25
60,False,2019-09-01
71,False,2019-09-08
68,False,2019-09-15
89,False,2019-09-22
87,False,2019-09-29
80,False,2019-10-06
67,False,2019-10-13
88,False,2019-10-20
88,False,2019-10-27
80,False,2019-11-03
70,False,2019-11-10
90,False,2019-11-17
67,False,2019-11-24
85,False,2019-12-01
83,False,2019-12-08
74,False,2019-12-15
43,False,2019-12-22
61,False,2019-12-29
79,False,2020-01-05
64,False,2020-01-12
72,False,2020-01-19
76,False,2020-01-26
74,False,2020-02-02
100,False,2020-02-09
81,False,2020-02-16
90,False,2020-02-23
77,False,2020-03-01
76,False,2020-03-08
52,False,2020-03-15
50,False,2020-03-22
53,False,2020-03-29
58,False,2020-04-05
64,False,2020-04-12
77,False,2020-04-19
64,False,2020-04-26
79,False,2020-05-03
70,False,2020-05-10
75,False,2020-05-17
54,False,2020-05-24
54,False,2020-05-31
70,False,2020-06-07
59,False,2020-06-14
62,False,2020-06-21
69,False,2020-06-28
55,False,2020-07-05
60,False,2020-07-12
61,False,2020-07-19
61,False,2020-07-26
62,True,2020-08-02
