personality disorder,isPartial,date
73,False,2019-08-11
73,False,2019-08-18
76,False,2019-08-25
75,False,2019-09-01
79,False,2019-09-08
75,False,2019-09-15
76,False,2019-09-22
74,False,2019-09-29
84,False,2019-10-06
88,False,2019-10-13
89,False,2019-10-20
84,False,2019-10-27
88,False,2019-11-03
87,False,2019-11-10
96,False,2019-11-17
79,False,2019-11-24
100,False,2019-12-01
94,False,2019-12-08
79,False,2019-12-15
77,False,2019-12-22
80,False,2019-12-29
78,False,2020-01-05
93,False,2020-01-12
90,False,2020-01-19
86,False,2020-01-26
81,False,2020-02-02
88,False,2020-02-09
91,False,2020-02-16
88,False,2020-02-23
90,False,2020-03-01
80,False,2020-03-08
62,False,2020-03-15
66,False,2020-03-22
72,False,2020-03-29
84,False,2020-04-05
85,False,2020-04-12
92,False,2020-04-19
95,False,2020-04-26
94,False,2020-05-03
88,False,2020-05-10
84,False,2020-05-17
75,False,2020-05-24
70,False,2020-05-31
84,False,2020-06-07
84,False,2020-06-14
84,False,2020-06-21
80,False,2020-06-28
81,False,2020-07-05
80,False,2020-07-12
82,False,2020-07-19
81,False,2020-07-26
84,True,2020-08-02
