phobias,isPartial,date
52,False,2019-08-11
52,False,2019-08-18
55,False,2019-08-25
69,False,2019-09-01
80,False,2019-09-08
72,False,2019-09-15
84,False,2019-09-22
100,False,2019-09-29
97,False,2019-10-06
89,False,2019-10-13
88,False,2019-10-20
88,False,2019-10-27
85,False,2019-11-03
87,False,2019-11-10
84,False,2019-11-17
62,False,2019-11-24
88,False,2019-12-01
86,False,2019-12-08
75,False,2019-12-15
42,False,2019-12-22
48,False,2019-12-29
56,False,2020-01-05
60,False,2020-01-12
63,False,2020-01-19
64,False,2020-01-26
59,False,2020-02-02
71,False,2020-02-09
68,False,2020-02-16
68,False,2020-02-23
87,False,2020-03-01
77,False,2020-03-08
46,False,2020-03-15
58,False,2020-03-22
54,False,2020-03-29
64,False,2020-04-05
55,False,2020-04-12
60,False,2020-04-19
69,False,2020-04-26
66,False,2020-05-03
57,False,2020-05-10
51,False,2020-05-17
52,False,2020-05-24
47,False,2020-05-31
46,False,2020-06-07
49,False,2020-06-14
46,False,2020-06-21
53,False,2020-06-28
39,False,2020-07-05
44,False,2020-07-12
35,False,2020-07-19
43,False,2020-07-26
56,True,2020-08-02
