sensory disorder,isPartial,date
64,False,2019-05-26
60,False,2019-06-02
70,False,2019-06-09
67,False,2019-06-16
67,False,2019-06-23
59,False,2019-06-30
74,False,2019-07-07
65,False,2019-07-14
81,False,2019-07-21
72,False,2019-07-28
65,False,2019-08-04
66,False,2019-08-11
80,False,2019-08-18
58,False,2019-08-25
72,False,2019-09-01
79,False,2019-09-08
82,False,2019-09-15
88,False,2019-09-22
100,False,2019-09-29
77,False,2019-10-06
85,False,2019-10-13
93,False,2019-10-20
94,False,2019-10-27
88,False,2019-11-03
73,False,2019-11-10
90,False,2019-11-17
64,False,2019-11-24
69,False,2019-12-01
70,False,2019-12-08
66,False,2019-12-15
61,False,2019-12-22
59,False,2019-12-29
74,False,2020-01-05
77,False,2020-01-12
79,False,2020-01-19
73,False,2020-01-26
65,False,2020-02-02
75,False,2020-02-09
68,False,2020-02-16
76,False,2020-02-23
66,False,2020-03-01
55,False,2020-03-08
35,False,2020-03-15
45,False,2020-03-22
44,False,2020-03-29
40,False,2020-04-05
51,False,2020-04-12
54,False,2020-04-19
54,False,2020-04-26
52,False,2020-05-03
47,False,2020-05-10
52,True,2020-05-17
