sleep disorder,isPartial,date
80,False,2019-08-11
68,False,2019-08-18
66,False,2019-08-25
67,False,2019-09-01
73,False,2019-09-08
91,False,2019-09-15
70,False,2019-09-22
83,False,2019-09-29
80,False,2019-10-06
88,False,2019-10-13
78,False,2019-10-20
86,False,2019-10-27
76,False,2019-11-03
77,False,2019-11-10
98,False,2019-11-17
65,False,2019-11-24
100,False,2019-12-01
84,False,2019-12-08
73,False,2019-12-15
61,False,2019-12-22
68,False,2019-12-29
92,False,2020-01-05
68,False,2020-01-12
79,False,2020-01-19
75,False,2020-01-26
90,False,2020-02-02
84,False,2020-02-09
81,False,2020-02-16
91,False,2020-02-23
90,False,2020-03-01
68,False,2020-03-08
47,False,2020-03-15
51,False,2020-03-22
56,False,2020-03-29
73,False,2020-04-05
74,False,2020-04-12
74,False,2020-04-19
73,False,2020-04-26
68,False,2020-05-03
77,False,2020-05-10
78,False,2020-05-17
54,False,2020-05-24
57,False,2020-05-31
67,False,2020-06-07
71,False,2020-06-14
74,False,2020-06-21
70,False,2020-06-28
71,False,2020-07-05
65,False,2020-07-12
71,False,2020-07-19
77,False,2020-07-26
57,True,2020-08-02
