sleeping disorder,isPartial,date
49,False,2019-08-11
24,False,2019-08-18
47,False,2019-08-25
61,False,2019-09-01
30,False,2019-09-08
26,False,2019-09-15
34,False,2019-09-22
64,False,2019-09-29
49,False,2019-10-06
52,False,2019-10-13
55,False,2019-10-20
60,False,2019-10-27
26,False,2019-11-03
83,False,2019-11-10
100,False,2019-11-17
35,False,2019-11-24
87,False,2019-12-01
85,False,2019-12-08
45,False,2019-12-15
47,False,2019-12-22
31,False,2019-12-29
58,False,2020-01-05
35,False,2020-01-12
29,False,2020-01-19
71,False,2020-01-26
46,False,2020-02-02
56,False,2020-02-09
53,False,2020-02-16
99,False,2020-02-23
34,False,2020-03-01
47,False,2020-03-08
23,False,2020-03-15
52,False,2020-03-22
63,False,2020-03-29
49,False,2020-04-05
66,False,2020-04-12
59,False,2020-04-19
62,False,2020-04-26
82,False,2020-05-03
77,False,2020-05-10
55,False,2020-05-17
40,False,2020-05-24
87,False,2020-05-31
66,False,2020-06-07
48,False,2020-06-14
41,False,2020-06-21
77,False,2020-06-28
63,False,2020-07-05
64,False,2020-07-12
28,False,2020-07-19
43,False,2020-07-26
38,True,2020-08-02
