bmw,isPartial,date
5,False,2019-05-19
5,False,2019-05-26
4,False,2019-06-02
5,False,2019-06-09
5,False,2019-06-16
5,False,2019-06-23
4,False,2019-06-30
5,False,2019-07-07
4,False,2019-07-14
5,False,2019-07-21
5,False,2019-07-28
5,False,2019-08-04
7,False,2019-08-11
19,False,2019-08-18
45,False,2019-08-25
100,False,2019-09-01
93,False,2019-09-08
82,False,2019-09-15
47,False,2019-09-22
4,False,2019-09-29
4,False,2019-10-06
4,False,2019-10-13
4,False,2019-10-20
4,False,2019-10-27
4,False,2019-11-03
4,False,2019-11-10
4,False,2019-11-17
4,False,2019-11-24
4,False,2019-12-01
4,False,2019-12-08
4,False,2019-12-15
4,False,2019-12-22
4,False,2019-12-29
4,False,2020-01-05
4,False,2020-01-12
4,False,2020-01-19
4,False,2020-01-26
4,False,2020-02-02
4,False,2020-02-09
4,False,2020-02-16
4,False,2020-02-23
4,False,2020-03-01
4,False,2020-03-08
3,False,2020-03-15
3,False,2020-03-22
3,False,2020-03-29
3,False,2020-04-05
3,False,2020-04-12
3,False,2020-04-19
4,False,2020-04-26
4,False,2020-05-03
