employment,isPartial,date
96,False,2019-08-11
94,False,2019-08-18
86,False,2019-08-25
81,False,2019-09-01
87,False,2019-09-08
87,False,2019-09-15
86,False,2019-09-22
88,False,2019-09-29
85,False,2019-10-06
85,False,2019-10-13
86,False,2019-10-20
80,False,2019-10-27
82,False,2019-11-03
80,False,2019-11-10
82,False,2019-11-17
54,False,2019-11-24
79,False,2019-12-01
74,False,2019-12-08
69,False,2019-12-15
53,False,2019-12-22
70,False,2019-12-29
91,False,2020-01-05
90,False,2020-01-12
88,False,2020-01-19
91,False,2020-01-26
91,False,2020-02-02
86,False,2020-02-09
87,False,2020-02-16
86,False,2020-02-23
87,False,2020-03-01
80,False,2020-03-08
83,False,2020-03-15
97,False,2020-03-22
100,False,2020-03-29
92,False,2020-04-05
91,False,2020-04-12
90,False,2020-04-19
86,False,2020-04-26
86,False,2020-05-03
85,False,2020-05-10
86,False,2020-05-17
78,False,2020-05-24
83,False,2020-05-31
86,False,2020-06-07
85,False,2020-06-14
86,False,2020-06-21
84,False,2020-06-28
90,False,2020-07-05
86,False,2020-07-12
85,False,2020-07-19
85,False,2020-07-26
77,True,2020-08-02
