get a job,isPartial,date
93,False,2019-08-11
89,False,2019-08-18
86,False,2019-08-25
79,False,2019-09-01
86,False,2019-09-08
87,False,2019-09-15
90,False,2019-09-22
85,False,2019-09-29
83,False,2019-10-06
83,False,2019-10-13
87,False,2019-10-20
79,False,2019-10-27
84,False,2019-11-03
83,False,2019-11-10
88,False,2019-11-17
73,False,2019-11-24
84,False,2019-12-01
83,False,2019-12-08
76,False,2019-12-15
66,False,2019-12-22
80,False,2019-12-29
96,False,2020-01-05
99,False,2020-01-12
99,False,2020-01-19
84,False,2020-01-26
89,False,2020-02-02
93,False,2020-02-09
90,False,2020-02-16
89,False,2020-02-23
88,False,2020-03-01
81,False,2020-03-08
74,False,2020-03-15
85,False,2020-03-22
93,False,2020-03-29
86,False,2020-04-05
95,False,2020-04-12
97,False,2020-04-19
93,False,2020-04-26
98,False,2020-05-03
98,False,2020-05-10
98,False,2020-05-17
96,False,2020-05-24
91,False,2020-05-31
100,False,2020-06-07
91,False,2020-06-14
92,False,2020-06-21
90,False,2020-06-28
91,False,2020-07-05
94,False,2020-07-12
97,False,2020-07-19
94,False,2020-07-26
88,True,2020-08-02
