job application,isPartial,date
91,False,2019-08-11
94,False,2019-08-18
86,False,2019-08-25
82,False,2019-09-01
91,False,2019-09-08
90,False,2019-09-15
87,False,2019-09-22
94,False,2019-09-29
87,False,2019-10-06
84,False,2019-10-13
89,False,2019-10-20
85,False,2019-10-27
92,False,2019-11-03
83,False,2019-11-10
85,False,2019-11-17
63,False,2019-11-24
87,False,2019-12-01
73,False,2019-12-08
66,False,2019-12-15
57,False,2019-12-22
77,False,2019-12-29
98,False,2020-01-05
93,False,2020-01-12
96,False,2020-01-19
82,False,2020-01-26
84,False,2020-02-02
80,False,2020-02-09
84,False,2020-02-16
89,False,2020-02-23
84,False,2020-03-01
75,False,2020-03-08
67,False,2020-03-15
70,False,2020-03-22
60,False,2020-03-29
54,False,2020-04-05
53,False,2020-04-12
59,False,2020-04-19
62,False,2020-04-26
69,False,2020-05-03
76,False,2020-05-10
86,False,2020-05-17
83,False,2020-05-24
89,False,2020-05-31
99,False,2020-06-07
100,False,2020-06-14
90,False,2020-06-21
85,False,2020-06-28
85,False,2020-07-05
87,False,2020-07-12
80,False,2020-07-19
79,False,2020-07-26
76,True,2020-08-02
