job center,isPartial,date
98,False,2019-08-11
93,False,2019-08-18
86,False,2019-08-25
86,False,2019-09-01
91,False,2019-09-08
96,False,2019-09-15
86,False,2019-09-22
90,False,2019-09-29
87,False,2019-10-06
86,False,2019-10-13
86,False,2019-10-20
78,False,2019-10-27
86,False,2019-11-03
83,False,2019-11-10
81,False,2019-11-17
60,False,2019-11-24
76,False,2019-12-01
76,False,2019-12-08
73,False,2019-12-15
51,False,2019-12-22
70,False,2019-12-29
100,False,2020-01-05
96,False,2020-01-12
95,False,2020-01-19
84,False,2020-01-26
82,False,2020-02-02
87,False,2020-02-09
87,False,2020-02-16
82,False,2020-02-23
79,False,2020-03-01
74,False,2020-03-08
70,False,2020-03-15
84,False,2020-03-22
73,False,2020-03-29
72,False,2020-04-05
65,False,2020-04-12
64,False,2020-04-19
67,False,2020-04-26
64,False,2020-05-03
65,False,2020-05-10
63,False,2020-05-17
60,False,2020-05-24
69,False,2020-05-31
70,False,2020-06-07
73,False,2020-06-14
70,False,2020-06-21
66,False,2020-06-28
72,False,2020-07-05
72,False,2020-07-12
69,False,2020-07-19
69,False,2020-07-26
52,True,2020-08-02
