job search,isPartial,date
100,False,2019-08-11
95,False,2019-08-18
88,False,2019-08-25
87,False,2019-09-01
93,False,2019-09-08
85,False,2019-09-15
84,False,2019-09-22
89,False,2019-09-29
90,False,2019-10-06
88,False,2019-10-13
88,False,2019-10-20
84,False,2019-10-27
91,False,2019-11-03
83,False,2019-11-10
74,False,2019-11-17
56,False,2019-11-24
79,False,2019-12-01
71,False,2019-12-08
67,False,2019-12-15
57,False,2019-12-22
69,False,2019-12-29
98,False,2020-01-05
94,False,2020-01-12
88,False,2020-01-19
93,False,2020-01-26
86,False,2020-02-02
86,False,2020-02-09
88,False,2020-02-16
85,False,2020-02-23
88,False,2020-03-01
72,False,2020-03-08
58,False,2020-03-15
62,False,2020-03-22
70,False,2020-03-29
75,False,2020-04-05
72,False,2020-04-12
72,False,2020-04-19
73,False,2020-04-26
77,False,2020-05-03
79,False,2020-05-10
82,False,2020-05-17
76,False,2020-05-24
81,False,2020-05-31
87,False,2020-06-07
86,False,2020-06-14
91,False,2020-06-21
87,False,2020-06-28
90,False,2020-07-05
82,False,2020-07-12
80,False,2020-07-19
82,False,2020-07-26
91,True,2020-08-02
