anti anxiety,isPartial,date
100,False,2019-08-11
86,False,2019-08-18
77,False,2019-08-25
77,False,2019-09-01
85,False,2019-09-08
85,False,2019-09-15
90,False,2019-09-22
81,False,2019-09-29
81,False,2019-10-06
73,False,2019-10-13
81,False,2019-10-20
74,False,2019-10-27
76,False,2019-11-03
77,False,2019-11-10
94,False,2019-11-17
67,False,2019-11-24
83,False,2019-12-01
71,False,2019-12-08
60,False,2019-12-15
75,False,2019-12-22
79,False,2019-12-29
79,False,2020-01-05
72,False,2020-01-12
83,False,2020-01-19
73,False,2020-01-26
76,False,2020-02-02
87,False,2020-02-09
90,False,2020-02-16
80,False,2020-02-23
78,False,2020-03-01
63,False,2020-03-08
61,False,2020-03-15
60,False,2020-03-22
57,False,2020-03-29
62,False,2020-04-05
73,False,2020-04-12
71,False,2020-04-19
65,False,2020-04-26
74,False,2020-05-03
72,False,2020-05-10
81,False,2020-05-17
66,False,2020-05-24
79,False,2020-05-31
78,False,2020-06-07
75,False,2020-06-14
86,False,2020-06-21
82,False,2020-06-28
78,False,2020-07-05
84,False,2020-07-12
83,False,2020-07-19
86,False,2020-07-26
85,True,2020-08-02
