antidepresant,isPartial,date
58,False,2019-08-11
28,False,2019-08-18
28,False,2019-08-25
27,False,2019-09-01
27,False,2019-09-08
26,False,2019-09-15
27,False,2019-09-22
0,False,2019-09-29
27,False,2019-10-06
27,False,2019-10-13
26,False,2019-10-20
27,False,2019-10-27
39,False,2019-11-03
51,False,2019-11-10
26,False,2019-11-17
27,False,2019-11-24
38,False,2019-12-01
26,False,2019-12-08
27,False,2019-12-15
30,False,2019-12-22
28,False,2019-12-29
26,False,2020-01-05
65,False,2020-01-12
26,False,2020-01-19
100,False,2020-01-26
38,False,2020-02-02
25,False,2020-02-09
50,False,2020-02-16
36,False,2020-02-23
48,False,2020-03-01
60,False,2020-03-08
24,False,2020-03-15
0,False,2020-03-22
23,False,2020-03-29
58,False,2020-04-05
0,False,2020-04-12
22,False,2020-04-19
55,False,2020-04-26
0,False,2020-05-03
30,False,2020-05-10
38,False,2020-05-17
70,False,2020-05-24
23,False,2020-05-31
39,False,2020-06-07
32,False,2020-06-14
49,False,2020-06-21
25,False,2020-06-28
33,False,2020-07-05
62,False,2020-07-12
38,False,2020-07-19
0,False,2020-07-26
89,True,2020-08-02
