anxiety and depression,isPartial,date
81,False,2019-08-11
78,False,2019-08-18
76,False,2019-08-25
74,False,2019-09-01
81,False,2019-09-08
79,False,2019-09-15
81,False,2019-09-22
89,False,2019-09-29
92,False,2019-10-06
95,False,2019-10-13
95,False,2019-10-20
89,False,2019-10-27
98,False,2019-11-03
84,False,2019-11-10
95,False,2019-11-17
79,False,2019-11-24
100,False,2019-12-01
82,False,2019-12-08
75,False,2019-12-15
59,False,2019-12-22
68,False,2019-12-29
89,False,2020-01-05
87,False,2020-01-12
85,False,2020-01-19
99,False,2020-01-26
95,False,2020-02-02
88,False,2020-02-09
90,False,2020-02-16
80,False,2020-02-23
89,False,2020-03-01
75,False,2020-03-08
48,False,2020-03-15
52,False,2020-03-22
63,False,2020-03-29
66,False,2020-04-05
77,False,2020-04-12
76,False,2020-04-19
80,False,2020-04-26
77,False,2020-05-03
82,False,2020-05-10
72,False,2020-05-17
73,False,2020-05-24
64,False,2020-05-31
75,False,2020-06-07
87,False,2020-06-14
87,False,2020-06-21
76,False,2020-06-28
80,False,2020-07-05
82,False,2020-07-12
71,False,2020-07-19
77,False,2020-07-26
75,True,2020-08-02
