anxiety attack,isPartial,date
79,False,2019-08-11
78,False,2019-08-18
82,False,2019-08-25
70,False,2019-09-01
78,False,2019-09-08
73,False,2019-09-15
79,False,2019-09-22
75,False,2019-09-29
73,False,2019-10-06
67,False,2019-10-13
78,False,2019-10-20
67,False,2019-10-27
77,False,2019-11-03
73,False,2019-11-10
83,False,2019-11-17
71,False,2019-11-24
74,False,2019-12-01
72,False,2019-12-08
68,False,2019-12-15
65,False,2019-12-22
75,False,2019-12-29
78,False,2020-01-05
79,False,2020-01-12
75,False,2020-01-19
83,False,2020-01-26
76,False,2020-02-02
78,False,2020-02-09
79,False,2020-02-16
76,False,2020-02-23
76,False,2020-03-01
80,False,2020-03-08
80,False,2020-03-15
100,False,2020-03-22
98,False,2020-03-29
92,False,2020-04-05
86,False,2020-04-12
86,False,2020-04-19
83,False,2020-04-26
80,False,2020-05-03
74,False,2020-05-10
77,False,2020-05-17
79,False,2020-05-24
73,False,2020-05-31
78,False,2020-06-07
89,False,2020-06-14
85,False,2020-06-21
84,False,2020-06-28
86,False,2020-07-05
91,False,2020-07-12
87,False,2020-07-19
82,False,2020-07-26
84,True,2020-08-02
