anxiety meds,isPartial,date
80,False,2019-08-11
78,False,2019-08-18
74,False,2019-08-25
77,False,2019-09-01
87,False,2019-09-08
80,False,2019-09-15
74,False,2019-09-22
89,False,2019-09-29
84,False,2019-10-06
93,False,2019-10-13
89,False,2019-10-20
81,False,2019-10-27
89,False,2019-11-03
77,False,2019-11-10
80,False,2019-11-17
72,False,2019-11-24
76,False,2019-12-01
71,False,2019-12-08
63,False,2019-12-15
61,False,2019-12-22
73,False,2019-12-29
94,False,2020-01-05
83,False,2020-01-12
88,False,2020-01-19
85,False,2020-01-26
82,False,2020-02-02
83,False,2020-02-09
90,False,2020-02-16
82,False,2020-02-23
87,False,2020-03-01
70,False,2020-03-08
62,False,2020-03-15
66,False,2020-03-22
67,False,2020-03-29
66,False,2020-04-05
62,False,2020-04-12
62,False,2020-04-19
59,False,2020-04-26
68,False,2020-05-03
72,False,2020-05-10
80,False,2020-05-17
69,False,2020-05-24
72,False,2020-05-31
72,False,2020-06-07
90,False,2020-06-14
100,False,2020-06-21
90,False,2020-06-28
90,False,2020-07-05
94,False,2020-07-12
97,False,2020-07-19
91,False,2020-07-26
76,True,2020-08-02
