best anxiety medication,isPartial,date
83,False,2019-08-11
81,False,2019-08-18
64,False,2019-08-25
80,False,2019-09-01
77,False,2019-09-08
64,False,2019-09-15
85,False,2019-09-22
73,False,2019-09-29
75,False,2019-10-06
92,False,2019-10-13
81,False,2019-10-20
76,False,2019-10-27
78,False,2019-11-03
95,False,2019-11-10
83,False,2019-11-17
54,False,2019-11-24
59,False,2019-12-01
78,False,2019-12-08
48,False,2019-12-15
62,False,2019-12-22
71,False,2019-12-29
82,False,2020-01-05
89,False,2020-01-12
100,False,2020-01-19
54,False,2020-01-26
76,False,2020-02-02
72,False,2020-02-09
68,False,2020-02-16
78,False,2020-02-23
67,False,2020-03-01
76,False,2020-03-08
52,False,2020-03-15
62,False,2020-03-22
50,False,2020-03-29
45,False,2020-04-05
52,False,2020-04-12
66,False,2020-04-19
66,False,2020-04-26
85,False,2020-05-03
61,False,2020-05-10
70,False,2020-05-17
65,False,2020-05-24
53,False,2020-05-31
61,False,2020-06-07
83,False,2020-06-14
83,False,2020-06-21
71,False,2020-06-28
76,False,2020-07-05
70,False,2020-07-12
69,False,2020-07-19
74,False,2020-07-26
59,True,2020-08-02
