depression medication,isPartial,date
86,False,2019-08-11
82,False,2019-08-18
87,False,2019-08-25
77,False,2019-09-01
99,False,2019-09-08
94,False,2019-09-15
95,False,2019-09-22
100,False,2019-09-29
89,False,2019-10-06
86,False,2019-10-13
97,False,2019-10-20
85,False,2019-10-27
91,False,2019-11-03
88,False,2019-11-10
87,False,2019-11-17
70,False,2019-11-24
80,False,2019-12-01
92,False,2019-12-08
78,False,2019-12-15
70,False,2019-12-22
86,False,2019-12-29
90,False,2020-01-05
83,False,2020-01-12
90,False,2020-01-19
88,False,2020-01-26
74,False,2020-02-02
94,False,2020-02-09
93,False,2020-02-16
88,False,2020-02-23
85,False,2020-03-01
81,False,2020-03-08
51,False,2020-03-15
63,False,2020-03-22
53,False,2020-03-29
63,False,2020-04-05
56,False,2020-04-12
71,False,2020-04-19
71,False,2020-04-26
81,False,2020-05-03
78,False,2020-05-10
75,False,2020-05-17
76,False,2020-05-24
60,False,2020-05-31
73,False,2020-06-07
84,False,2020-06-14
82,False,2020-06-21
66,False,2020-06-28
78,False,2020-07-05
75,False,2020-07-12
86,False,2020-07-19
75,False,2020-07-26
58,True,2020-08-02
