medication for anxiety disorder,isPartial,date
61,False,2019-05-26
30,False,2019-06-02
26,False,2019-06-09
27,False,2019-06-16
36,False,2019-06-23
37,False,2019-06-30
57,False,2019-07-07
40,False,2019-07-14
59,False,2019-07-21
27,False,2019-07-28
58,False,2019-08-04
35,False,2019-08-11
39,False,2019-08-18
69,False,2019-08-25
25,False,2019-09-01
32,False,2019-09-08
63,False,2019-09-15
32,False,2019-09-22
44,False,2019-09-29
49,False,2019-10-06
32,False,2019-10-13
100,False,2019-10-20
40,False,2019-10-27
52,False,2019-11-03
39,False,2019-11-10
67,False,2019-11-17
50,False,2019-11-24
35,False,2019-12-01
36,False,2019-12-08
64,False,2019-12-15
27,False,2019-12-22
25,False,2019-12-29
35,False,2020-01-05
18,False,2020-01-12
58,False,2020-01-19
34,False,2020-01-26
64,False,2020-02-02
38,False,2020-02-09
45,False,2020-02-16
58,False,2020-02-23
54,False,2020-03-01
29,False,2020-03-08
36,False,2020-03-15
35,False,2020-03-22
31,False,2020-03-29
48,False,2020-04-05
54,False,2020-04-12
56,False,2020-04-19
40,False,2020-04-26
54,False,2020-05-03
21,False,2020-05-10
47,True,2020-05-17
