ssris,isPartial,date
53,False,2019-08-11
52,False,2019-08-18
42,False,2019-08-25
45,False,2019-09-01
53,False,2019-09-08
61,False,2019-09-15
56,False,2019-09-22
68,False,2019-09-29
50,False,2019-10-06
60,False,2019-10-13
58,False,2019-10-20
69,False,2019-10-27
75,False,2019-11-03
68,False,2019-11-10
82,False,2019-11-17
65,False,2019-11-24
77,False,2019-12-01
57,False,2019-12-08
53,False,2019-12-15
33,False,2019-12-22
47,False,2019-12-29
46,False,2020-01-05
56,False,2020-01-12
45,False,2020-01-19
58,False,2020-01-26
64,False,2020-02-02
75,False,2020-02-09
67,False,2020-02-16
64,False,2020-02-23
62,False,2020-03-01
55,False,2020-03-08
47,False,2020-03-15
42,False,2020-03-22
50,False,2020-03-29
61,False,2020-04-05
100,False,2020-04-12
66,False,2020-04-19
65,False,2020-04-26
58,False,2020-05-03
66,False,2020-05-10
50,False,2020-05-17
42,False,2020-05-24
48,False,2020-05-31
59,False,2020-06-07
61,False,2020-06-14
57,False,2020-06-21
56,False,2020-06-28
66,False,2020-07-05
53,False,2020-07-12
65,False,2020-07-19
53,False,2020-07-26
40,True,2020-08-02
