in memory of,isPartial,date
53,False,2019-08-11
56,False,2019-08-18
60,False,2019-08-25
63,False,2019-09-01
78,False,2019-09-08
73,False,2019-09-15
83,False,2019-09-22
80,False,2019-09-29
84,False,2019-10-06
89,False,2019-10-13
87,False,2019-10-20
79,False,2019-10-27
82,False,2019-11-03
75,False,2019-11-10
85,False,2019-11-17
63,False,2019-11-24
79,False,2019-12-01
90,False,2019-12-08
65,False,2019-12-15
40,False,2019-12-22
42,False,2019-12-29
53,False,2020-01-05
61,False,2020-01-12
64,False,2020-01-19
73,False,2020-01-26
77,False,2020-02-02
78,False,2020-02-09
85,False,2020-02-16
90,False,2020-02-23
90,False,2020-03-01
76,False,2020-03-08
65,False,2020-03-15
73,False,2020-03-22
79,False,2020-03-29
87,False,2020-04-05
88,False,2020-04-12
88,False,2020-04-19
99,False,2020-04-26
100,False,2020-05-03
89,False,2020-05-10
77,False,2020-05-17
66,False,2020-05-24
58,False,2020-05-31
72,False,2020-06-07
76,False,2020-06-14
70,False,2020-06-21
66,False,2020-06-28
60,False,2020-07-05
62,False,2020-07-12
59,False,2020-07-19
66,False,2020-07-26
55,True,2020-08-02
