memory box,isPartial,date
61,False,2019-08-11
72,False,2019-08-18
63,False,2019-08-25
69,False,2019-09-01
77,False,2019-09-08
59,False,2019-09-15
51,False,2019-09-22
59,False,2019-09-29
60,False,2019-10-06
62,False,2019-10-13
60,False,2019-10-20
59,False,2019-10-27
76,False,2019-11-03
82,False,2019-11-10
70,False,2019-11-17
81,False,2019-11-24
78,False,2019-12-01
78,False,2019-12-08
76,False,2019-12-15
93,False,2019-12-22
63,False,2019-12-29
76,False,2020-01-05
73,False,2020-01-12
69,False,2020-01-19
54,False,2020-01-26
76,False,2020-02-02
70,False,2020-02-09
68,False,2020-02-16
64,False,2020-02-23
79,False,2020-03-01
55,False,2020-03-08
46,False,2020-03-15
51,False,2020-03-22
53,False,2020-03-29
64,False,2020-04-05
86,False,2020-04-12
96,False,2020-04-19
92,False,2020-04-26
84,False,2020-05-03
76,False,2020-05-10
98,False,2020-05-17
86,False,2020-05-24
70,False,2020-05-31
83,False,2020-06-07
82,False,2020-06-14
76,False,2020-06-21
79,False,2020-06-28
69,False,2020-07-05
69,False,2020-07-12
70,False,2020-07-19
72,False,2020-07-26
100,True,2020-08-02
