memory card,isPartial,date
47,False,2019-08-11
51,False,2019-08-18
52,False,2019-08-25
49,False,2019-09-01
49,False,2019-09-08
50,False,2019-09-15
50,False,2019-09-22
48,False,2019-09-29
44,False,2019-10-06
47,False,2019-10-13
47,False,2019-10-20
45,False,2019-10-27
46,False,2019-11-03
46,False,2019-11-10
45,False,2019-11-17
76,False,2019-11-24
65,False,2019-12-01
54,False,2019-12-08
61,False,2019-12-15
100,False,2019-12-22
65,False,2019-12-29
49,False,2020-01-05
53,False,2020-01-12
50,False,2020-01-19
44,False,2020-01-26
48,False,2020-02-02
48,False,2020-02-09
51,False,2020-02-16
46,False,2020-02-23
47,False,2020-03-01
45,False,2020-03-08
50,False,2020-03-15
52,False,2020-03-22
52,False,2020-03-29
54,False,2020-04-05
57,False,2020-04-12
57,False,2020-04-19
58,False,2020-04-26
54,False,2020-05-03
59,False,2020-05-10
55,False,2020-05-17
55,False,2020-05-24
52,False,2020-05-31
57,False,2020-06-07
57,False,2020-06-14
53,False,2020-06-21
57,False,2020-06-28
52,False,2020-07-05
53,False,2020-07-12
56,False,2020-07-19
52,False,2020-07-26
64,True,2020-08-02
