memory care,isPartial,date
74,False,2019-08-11
66,False,2019-08-18
64,False,2019-08-25
59,False,2019-09-01
59,False,2019-09-08
63,False,2019-09-15
57,False,2019-09-22
66,False,2019-09-29
61,False,2019-10-06
55,False,2019-10-13
54,False,2019-10-20
61,False,2019-10-27
58,False,2019-11-03
61,False,2019-11-10
60,False,2019-11-17
46,False,2019-11-24
61,False,2019-12-01
73,False,2019-12-08
93,False,2019-12-15
98,False,2019-12-22
98,False,2019-12-29
87,False,2020-01-05
100,False,2020-01-12
84,False,2020-01-19
84,False,2020-01-26
86,False,2020-02-02
92,False,2020-02-09
90,False,2020-02-16
85,False,2020-02-23
89,False,2020-03-01
79,False,2020-03-08
73,False,2020-03-15
55,False,2020-03-22
44,False,2020-03-29
49,False,2020-04-05
51,False,2020-04-12
49,False,2020-04-19
51,False,2020-04-26
53,False,2020-05-03
54,False,2020-05-10
48,False,2020-05-17
56,False,2020-05-24
55,False,2020-05-31
59,False,2020-06-07
60,False,2020-06-14
61,False,2020-06-21
61,False,2020-06-28
64,False,2020-07-05
66,False,2020-07-12
65,False,2020-07-19
64,False,2020-07-26
66,True,2020-08-02
