memory loss,isPartial,date
87,False,2019-08-11
76,False,2019-08-18
75,False,2019-08-25
67,False,2019-09-01
82,False,2019-09-08
84,False,2019-09-15
83,False,2019-09-22
86,False,2019-09-29
82,False,2019-10-06
79,False,2019-10-13
78,False,2019-10-20
67,False,2019-10-27
87,False,2019-11-03
78,False,2019-11-10
91,False,2019-11-17
70,False,2019-11-24
82,False,2019-12-01
74,False,2019-12-08
80,False,2019-12-15
74,False,2019-12-22
77,False,2019-12-29
91,False,2020-01-05
85,False,2020-01-12
86,False,2020-01-19
91,False,2020-01-26
100,False,2020-02-02
90,False,2020-02-09
95,False,2020-02-16
88,False,2020-02-23
88,False,2020-03-01
71,False,2020-03-08
57,False,2020-03-15
61,False,2020-03-22
60,False,2020-03-29
63,False,2020-04-05
69,False,2020-04-12
68,False,2020-04-19
69,False,2020-04-26
74,False,2020-05-03
71,False,2020-05-10
71,False,2020-05-17
64,False,2020-05-24
70,False,2020-05-31
71,False,2020-06-07
71,False,2020-06-14
73,False,2020-06-21
71,False,2020-06-28
74,False,2020-07-05
79,False,2020-07-12
74,False,2020-07-19
77,False,2020-07-26
77,True,2020-08-02
