memory stick,isPartial,date
75,False,2019-08-11
71,False,2019-08-18
56,False,2019-08-25
70,False,2019-09-01
60,False,2019-09-08
69,False,2019-09-15
81,False,2019-09-22
61,False,2019-09-29
65,False,2019-10-06
60,False,2019-10-13
65,False,2019-10-20
57,False,2019-10-27
58,False,2019-11-03
61,False,2019-11-10
55,False,2019-11-17
82,False,2019-11-24
89,False,2019-12-01
78,False,2019-12-08
86,False,2019-12-15
90,False,2019-12-22
88,False,2019-12-29
100,False,2020-01-05
89,False,2020-01-12
86,False,2020-01-19
71,False,2020-01-26
77,False,2020-02-02
66,False,2020-02-09
71,False,2020-02-16
76,False,2020-02-23
63,False,2020-03-01
59,False,2020-03-08
57,False,2020-03-15
65,False,2020-03-22
76,False,2020-03-29
75,False,2020-04-05
70,False,2020-04-12
73,False,2020-04-19
77,False,2020-04-26
79,False,2020-05-03
60,False,2020-05-10
79,False,2020-05-17
75,False,2020-05-24
68,False,2020-05-31
74,False,2020-06-07
67,False,2020-06-14
64,False,2020-06-21
55,False,2020-06-28
72,False,2020-07-05
85,False,2020-07-12
78,False,2020-07-19
81,False,2020-07-26
54,True,2020-08-02
