sd memory card,isPartial,date
58,False,2019-08-11
63,False,2019-08-18
64,False,2019-08-25
50,False,2019-09-01
57,False,2019-09-08
56,False,2019-09-15
57,False,2019-09-22
53,False,2019-09-29
50,False,2019-10-06
55,False,2019-10-13
53,False,2019-10-20
56,False,2019-10-27
52,False,2019-11-03
48,False,2019-11-10
39,False,2019-11-17
66,False,2019-11-24
76,False,2019-12-01
60,False,2019-12-08
50,False,2019-12-15
100,False,2019-12-22
78,False,2019-12-29
64,False,2020-01-05
59,False,2020-01-12
54,False,2020-01-19
57,False,2020-01-26
52,False,2020-02-02
44,False,2020-02-09
61,False,2020-02-16
51,False,2020-02-23
57,False,2020-03-01
55,False,2020-03-08
45,False,2020-03-15
48,False,2020-03-22
48,False,2020-03-29
61,False,2020-04-05
61,False,2020-04-12
54,False,2020-04-19
63,False,2020-04-26
64,False,2020-05-03
71,False,2020-05-10
71,False,2020-05-17
57,False,2020-05-24
55,False,2020-05-31
60,False,2020-06-07
63,False,2020-06-14
58,False,2020-06-21
57,False,2020-06-28
54,False,2020-07-05
66,False,2020-07-12
59,False,2020-07-19
47,False,2020-07-26
44,True,2020-08-02
