codeine,isPartial,date
54,False,2019-08-11
53,False,2019-08-18
53,False,2019-08-25
59,False,2019-09-01
60,False,2019-09-08
63,False,2019-09-15
67,False,2019-09-22
65,False,2019-09-29
64,False,2019-10-06
59,False,2019-10-13
67,False,2019-10-20
64,False,2019-10-27
66,False,2019-11-03
63,False,2019-11-10
76,False,2019-11-17
69,False,2019-11-24
67,False,2019-12-01
100,False,2019-12-08
77,False,2019-12-15
75,False,2019-12-22
84,False,2019-12-29
90,False,2020-01-05
74,False,2020-01-12
86,False,2020-01-19
77,False,2020-01-26
74,False,2020-02-02
75,False,2020-02-09
79,False,2020-02-16
79,False,2020-02-23
73,False,2020-03-01
69,False,2020-03-08
62,False,2020-03-15
58,False,2020-03-22
59,False,2020-03-29
55,False,2020-04-05
52,False,2020-04-12
48,False,2020-04-19
47,False,2020-04-26
52,False,2020-05-03
46,False,2020-05-10
46,False,2020-05-17
50,False,2020-05-24
51,False,2020-05-31
53,False,2020-06-07
52,False,2020-06-14
56,False,2020-06-21
52,False,2020-06-28
52,False,2020-07-05
52,False,2020-07-12
51,False,2020-07-19
45,False,2020-07-26
46,True,2020-08-02
