drugs,isPartial,date
80,False,2019-08-11
77,False,2019-08-18
79,False,2019-08-25
77,False,2019-09-01
84,False,2019-09-08
85,False,2019-09-15
88,False,2019-09-22
86,False,2019-09-29
85,False,2019-10-06
88,False,2019-10-13
93,False,2019-10-20
88,False,2019-10-27
88,False,2019-11-03
88,False,2019-11-10
91,False,2019-11-17
76,False,2019-11-24
85,False,2019-12-01
100,False,2019-12-08
80,False,2019-12-15
71,False,2019-12-22
75,False,2019-12-29
82,False,2020-01-05
84,False,2020-01-12
87,False,2020-01-19
89,False,2020-01-26
88,False,2020-02-02
89,False,2020-02-09
90,False,2020-02-16
93,False,2020-02-23
93,False,2020-03-01
86,False,2020-03-08
93,False,2020-03-15
93,False,2020-03-22
92,False,2020-03-29
89,False,2020-04-05
84,False,2020-04-12
87,False,2020-04-19
82,False,2020-04-26
82,False,2020-05-03
78,False,2020-05-10
77,False,2020-05-17
73,False,2020-05-24
84,False,2020-05-31
82,False,2020-06-07
76,False,2020-06-14
74,False,2020-06-21
71,False,2020-06-28
76,False,2020-07-05
79,False,2020-07-12
80,False,2020-07-19
81,False,2020-07-26
73,True,2020-08-02
