fentanyl,isPartial,date
41,False,2019-08-11
43,False,2019-08-18
72,False,2019-08-25
55,False,2019-09-01
38,False,2019-09-08
43,False,2019-09-15
39,False,2019-09-22
36,False,2019-09-29
31,False,2019-10-06
33,False,2019-10-13
38,False,2019-10-20
39,False,2019-10-27
40,False,2019-11-03
34,False,2019-11-10
37,False,2019-11-17
29,False,2019-11-24
29,False,2019-12-01
30,False,2019-12-08
29,False,2019-12-15
25,False,2019-12-22
33,False,2019-12-29
28,False,2020-01-05
36,False,2020-01-12
41,False,2020-01-19
44,False,2020-01-26
34,False,2020-02-02
35,False,2020-02-09
33,False,2020-02-16
35,False,2020-02-23
30,False,2020-03-01
33,False,2020-03-08
20,False,2020-03-15
20,False,2020-03-22
20,False,2020-03-29
23,False,2020-04-05
21,False,2020-04-12
26,False,2020-04-19
24,False,2020-04-26
26,False,2020-05-03
32,False,2020-05-10
33,False,2020-05-17
28,False,2020-05-24
100,False,2020-05-31
39,False,2020-06-07
29,False,2020-06-14
32,False,2020-06-21
29,False,2020-06-28
30,False,2020-07-05
27,False,2020-07-12
29,False,2020-07-19
32,False,2020-07-26
28,True,2020-08-02
