opiod,isPartial,date
49,False,2019-08-11
52,False,2019-08-18
100,False,2019-08-25
53,False,2019-09-01
67,False,2019-09-08
61,False,2019-09-15
59,False,2019-09-22
55,False,2019-09-29
61,False,2019-10-06
61,False,2019-10-13
73,False,2019-10-20
47,False,2019-10-27
52,False,2019-11-03
54,False,2019-11-10
49,False,2019-11-17
46,False,2019-11-24
51,False,2019-12-01
48,False,2019-12-08
45,False,2019-12-15
41,False,2019-12-22
44,False,2019-12-29
47,False,2020-01-05
49,False,2020-01-12
56,False,2020-01-19
54,False,2020-01-26
57,False,2020-02-02
58,False,2020-02-09
50,False,2020-02-16
55,False,2020-02-23
53,False,2020-03-01
48,False,2020-03-08
33,False,2020-03-15
40,False,2020-03-22
38,False,2020-03-29
39,False,2020-04-05
34,False,2020-04-12
42,False,2020-04-19
35,False,2020-04-26
39,False,2020-05-03
37,False,2020-05-10
37,False,2020-05-17
28,False,2020-05-24
28,False,2020-05-31
34,False,2020-06-07
35,False,2020-06-14
37,False,2020-06-21
34,False,2020-06-28
33,False,2020-07-05
34,False,2020-07-12
38,False,2020-07-19
31,False,2020-07-26
41,True,2020-08-02
