pain relievers,isPartial,date
55,False,2019-08-11
53,False,2019-08-18
62,False,2019-08-25
64,False,2019-09-01
60,False,2019-09-08
50,False,2019-09-15
60,False,2019-09-22
59,False,2019-09-29
48,False,2019-10-06
82,False,2019-10-13
59,False,2019-10-20
58,False,2019-10-27
56,False,2019-11-03
49,False,2019-11-10
59,False,2019-11-17
57,False,2019-11-24
58,False,2019-12-01
53,False,2019-12-08
63,False,2019-12-15
61,False,2019-12-22
66,False,2019-12-29
63,False,2020-01-05
64,False,2020-01-12
71,False,2020-01-19
63,False,2020-01-26
48,False,2020-02-02
64,False,2020-02-09
76,False,2020-02-16
70,False,2020-02-23
65,False,2020-03-01
77,False,2020-03-08
100,False,2020-03-15
99,False,2020-03-22
100,False,2020-03-29
73,False,2020-04-05
100,False,2020-04-12
64,False,2020-04-19
68,False,2020-04-26
47,False,2020-05-03
73,False,2020-05-10
67,False,2020-05-17
70,False,2020-05-24
49,False,2020-05-31
67,False,2020-06-07
67,False,2020-06-14
55,False,2020-06-21
49,False,2020-06-28
80,False,2020-07-05
66,False,2020-07-12
73,False,2020-07-19
48,False,2020-07-26
67,True,2020-08-02
