what is opioid,isPartial,date
42,False,2019-08-11
37,False,2019-08-18
100,False,2019-08-25
61,False,2019-09-01
58,False,2019-09-08
71,False,2019-09-15
64,False,2019-09-22
79,False,2019-09-29
72,False,2019-10-06
69,False,2019-10-13
78,False,2019-10-20
88,False,2019-10-27
72,False,2019-11-03
62,False,2019-11-10
67,False,2019-11-17
49,False,2019-11-24
69,False,2019-12-01
60,False,2019-12-08
44,False,2019-12-15
26,False,2019-12-22
42,False,2019-12-29
36,False,2020-01-05
52,False,2020-01-12
47,False,2020-01-19
80,False,2020-01-26
67,False,2020-02-02
70,False,2020-02-09
72,False,2020-02-16
75,False,2020-02-23
63,False,2020-03-01
54,False,2020-03-08
46,False,2020-03-15
52,False,2020-03-22
65,False,2020-03-29
59,False,2020-04-05
66,False,2020-04-12
58,False,2020-04-19
63,False,2020-04-26
50,False,2020-05-03
64,False,2020-05-10
44,False,2020-05-17
42,False,2020-05-24
53,False,2020-05-31
50,False,2020-06-07
53,False,2020-06-14
54,False,2020-06-21
40,False,2020-06-28
35,False,2020-07-05
43,False,2020-07-12
35,False,2020-07-19
40,False,2020-07-26
28,True,2020-08-02
