alcohol,isPartial,date
54,False,2019-08-11
52,False,2019-08-18
50,False,2019-08-25
50,False,2019-09-01
49,False,2019-09-08
51,False,2019-09-15
51,False,2019-09-22
49,False,2019-09-29
49,False,2019-10-06
50,False,2019-10-13
51,False,2019-10-20
52,False,2019-10-27
51,False,2019-11-03
49,False,2019-11-10
53,False,2019-11-17
53,False,2019-11-24
49,False,2019-12-01
52,False,2019-12-08
52,False,2019-12-15
64,False,2019-12-22
67,False,2019-12-29
51,False,2020-01-05
52,False,2020-01-12
52,False,2020-01-19
53,False,2020-01-26
52,False,2020-02-02
51,False,2020-02-09
52,False,2020-02-16
56,False,2020-02-23
68,False,2020-03-01
89,False,2020-03-08
86,False,2020-03-15
79,False,2020-03-22
100,False,2020-03-29
75,False,2020-04-05
67,False,2020-04-12
67,False,2020-04-19
63,False,2020-04-26
63,False,2020-05-03
61,False,2020-05-10
61,False,2020-05-17
57,False,2020-05-24
53,False,2020-05-31
57,False,2020-06-07
59,False,2020-06-14
64,False,2020-06-21
64,False,2020-06-28
60,False,2020-07-05
57,False,2020-07-12
64,False,2020-07-19
61,False,2020-07-26
59,True,2020-08-02
